ElementLabel,IntegrationPoint,LE11,LE22,LE33,LE12,LE13,LE23
167,1,-2.5162855e-05,7.3378484e-05,1.5542782e-05,0.00038296296,-6.4413485e-05,-7.390289e-07
168,1,4.1746975e-05,-2.7327604e-05,-4.5246593e-06,0.00011726549,-4.2717664e-05,-1.282029e-06
169,1,1.8728657e-05,7.044862e-05,2.0736685e-05,-0.00017907709,1.5342115e-05,-2.2643529e-07
170,1,2.3108896e-05,-8.366278e-05,1.6019569e-05,5.9166887e-05,-5.8030306e-05,-1.5549667e-05
171,1,-1.6290278e-06,6.14869e-05,1.731647e-05,-0.00047264874,-5.8290294e-05,-1.1631812e-05
172,1,-5.1214397e-06,1.2261713e-05,1.2760704e-05,0.0002597725,-5.265388e-05,-6.512718e-06
173,1,-1.534694e-05,1.01403275e-05,6.6196963e-06,-0.00020857896,-4.587085e-05,-1.0059468e-05
174,1,-2.1459515e-05,7.6256525e-05,-8.3559905e-07,0.00038538288,-1.4485617e-05,-7.540942e-06
175,1,4.613508e-05,-2.1980566e-05,-1.2553257e-05,0.00012135353,1.5572356e-06,-3.1933232e-06
176,1,6.907169e-07,7.679928e-05,3.3060103e-06,-0.00018167017,-1.0727439e-05,-9.9761955e-06
177,1,-1.7444053e-07,-5.8352307e-05,2.226641e-06,2.853448e-05,4.3705575e-05,3.517311e-07
178,1,-1.9006939e-05,7.546285e-05,-4.955952e-06,-0.00041962526,-1.5615824e-06,-1.1396159e-05
179,1,-1.5222252e-05,2.3491279e-05,-2.0348534e-06,0.00027281212,-1.206611e-05,-6.3269663e-06
180,1,-2.6662665e-05,2.5023233e-05,-5.0734707e-06,-0.00013415623,1.5537971e-05,-3.6876386e-06
181,1,-2.6848878e-05,8.244545e-05,-1.019647e-05,0.00045036085,-1.6377286e-05,-7.106642e-06
182,1,3.9027444e-05,-1.2490964e-05,-2.3121624e-05,0.00015784787,4.6204386e-05,2.6190262e-06
183,1,6.408805e-05,-0.00018844102,5.435254e-07,1.8093879e-05,-4.7753474e-05,-2.4364003e-06
184,1,-5.077064e-05,0.00012823286,3.0115425e-05,-0.0004746123,7.4178686e-05,2.9357325e-05
185,1,1.0640937e-05,-0.00016097736,5.1349216e-05,0.00042822488,4.9187616e-05,-5.231953e-07
186,1,3.7631303e-06,-7.935211e-05,4.2900916e-05,-0.00054768595,3.4722245e-05,2.1117455e-07
187,1,-6.790242e-05,2.2616088e-05,4.1058953e-05,0.00039557333,5.7945526e-05,7.603977e-07
188,1,-1.9638102e-05,-8.124757e-05,2.3240533e-05,6.517271e-05,1.8760039e-07,-1.4508871e-05
189,1,6.713827e-05,3.7119895e-05,-9.117832e-06,0.00032880486,1.393088e-05,4.1861895e-06
190,1,0.000113704846,-0.00024859485,4.640397e-05,4.0750107e-05,0.00020697904,2.6231637e-05
191,1,-1.443349e-05,0.00010914629,7.527433e-05,-0.0005319433,0.00016501335,1.7894898e-05
192,1,3.793117e-05,-0.00019135291,7.434664e-05,0.0004326876,0.00017478173,2.5138053e-07
193,1,2.5625399e-05,-0.00010824948,7.4955606e-05,-0.0006437055,0.00015986279,-1.0864273e-05
194,1,-5.651768e-05,9.616253e-06,6.602754e-05,0.00034492847,0.00011058903,-3.0336787e-05
195,1,-6.6289995e-06,-0.00010127219,3.838107e-05,-3.008263e-05,7.4998716e-05,-2.6685868e-05
196,1,7.459371e-05,3.458971e-05,-3.2773546e-06,0.00028587988,5.7886673e-06,-1.1198307e-05
197,1,7.03057e-05,-0.00025984558,0.00014473467,1.7364737e-05,0.00024704888,-6.549512e-06
198,1,-4.5475947e-05,9.103628e-05,0.00012809136,-0.0005399496,0.00025934362,-3.0627489e-06
199,1,9.927643e-06,-0.0002011699,0.00012990255,0.00041882118,0.00023837756,-1.7490047e-05
200,1,1.2675943e-08,-0.00012054865,0.00011912829,-0.0006607648,0.00019232149,-4.404768e-05
